AIRLINE,mean,median,std,count
G4,17.452145841245727,-3.0,93.15484513186385,10532
NK,16.907894736842106,1.0,60.67827349851972,304
AA,9.993529776817523,-7.0,68.51386598559743,87014
WN,9.508944364716484,-1.0,37.83152166650085,119852
F9,8.247648217020346,-8.0,72.63455080936254,18284
OH,8.046677137528222,-9.0,64.32757070282904,20374
OO,7.621932392866649,-7.0,65.91042873413434,75140
UA,4.263447134172818,-7.0,48.08066420460558,73696
DL,2.752155719695715,-8.0,47.41713757333849,90573
B6,2.246055502003957,-8.0,47.14572797940486,19711
MQ,1.543817356778219,-10.0,52.08290494195577,28208
AS,-0.5607250337265212,-6.0,32.41306808062833,28909
YX,-1.3847756764436587,-12.0,42.729446807669845,31673
